0	1.52	1.06
1	3.35	0.44
2	7.36	1.37
3	10.72	2.69
4	13.96	0.84
5	16.71	2.18
6	18.58	2.76
7	1.29	4.18
8	5.10	4.84
9	6.81	5.69
10	8.90	4.35
11	13.29	2.88
12	15.10	3.66
13	17.57	4.63
14	0.61	6.05
15	4.14	7.49
16	6.33	7.32
17	8.63	7.01
18	13.62	5.74
19	16.39	7.79
20	18.83	6.16
21	0.76	9.64
22	4.79	10.48
23	7.50	9.64
24	9.50	9.74
25	11.90	9.69
26	15.24	9.01
27	18.64	9.99
28	1.91	14.02
29	4.93	13.96
30	6.36	13.95
31	11.41	12.44
32	13.58	12.51
33	14.96	13.73
34	19.88	11.57
35	2.62	14.96
36	4.25	14.81
37	8.31	16.81
38	10.79	15.79
39	13.91	14.96
40	16.21	14.81
41	19.80	16.30
42	1.51	19.70
43	5.00	18.52
44	7.05	19.26
45	9.95	17.55
46	13.68	19.78
47	16.82	19.97
48	19.20	19.56
