0	0.00	0.00
1	1.00	0.00
2	2.00	0.00
3	3.00	0.00
4	4.00	0.00
5	5.00	0.00
6	6.00	0.00
7	0.00	1.00
8	1.00	1.00
9	2.00	1.00
10	3.00	1.00
11	4.00	1.00
12	5.00	1.00
13	6.00	1.00
14	0.00	2.00
15	1.00	2.00
16	2.00	2.00
17	3.00	2.00
18	4.00	2.00
19	5.00	2.00
20	6.00	2.00
21	0.00	3.00
22	1.00	3.00
23	2.00	3.00
24	3.00	3.00
25	4.00	3.00
26	5.00	3.00
27	6.00	3.00
28	0.00	4.00
29	1.00	4.00
30	2.00	4.00
31	3.00	4.00
32	4.00	4.00
33	5.00	4.00
34	6.00	4.00
35	0.00	5.00
36	1.00	5.00
37	2.00	5.00
38	3.00	5.00
39	4.00	5.00
40	5.00	5.00
41	6.00	5.00
42	0.00	6.00
43	1.00	6.00
44	2.00	6.00
45	3.00	6.00
46	4.00	6.00
47	5.00	6.00
48	6.00	6.00
