gain	0	1	-57.09
gain	1	0	-53.33
gain	0	2	-63.11
gain	2	0	-59.52
gain	0	3	-71.58
gain	3	0	-68.66
gain	0	4	-82.88
gain	4	0	-82.75
gain	0	5	-76.52
gain	5	0	-73.36
gain	0	6	-84.66
gain	6	0	-81.87
gain	0	7	-46.11
gain	7	0	-44.34
gain	0	8	-57.02
gain	8	0	-58.19
gain	0	9	-60.41
gain	9	0	-60.97
gain	0	10	-70.30
gain	10	0	-60.02
gain	0	11	-71.09
gain	11	0	-67.98
gain	0	12	-74.39
gain	12	0	-72.01
gain	0	13	-77.23
gain	13	0	-73.92
gain	0	14	-72.78
gain	14	0	-67.34
gain	0	15	-71.69
gain	15	0	-69.44
gain	0	16	-69.39
gain	16	0	-68.82
gain	0	17	-69.62
gain	17	0	-65.81
gain	0	18	-80.48
gain	18	0	-77.70
gain	0	19	-81.19
gain	19	0	-75.66
gain	0	20	-79.08
gain	20	0	-81.30
gain	0	21	-71.95
gain	21	0	-67.75
gain	0	22	-74.87
gain	22	0	-76.46
gain	0	23	-68.35
gain	23	0	-67.30
gain	0	24	-80.07
gain	24	0	-81.73
gain	0	25	-79.34
gain	25	0	-78.60
gain	0	26	-77.31
gain	26	0	-75.40
gain	0	27	-88.34
gain	27	0	-82.87
gain	0	28	-74.15
gain	28	0	-69.39
gain	0	29	-76.85
gain	29	0	-74.45
gain	0	30	-75.12
gain	30	0	-72.24
gain	0	31	-76.10
gain	31	0	-75.16
gain	0	32	-83.36
gain	32	0	-87.79
gain	0	33	-87.15
gain	33	0	-85.37
gain	0	34	-83.14
gain	34	0	-79.71
gain	0	35	-69.51
gain	35	0	-66.65
gain	0	36	-76.45
gain	36	0	-73.36
gain	0	37	-79.00
gain	37	0	-77.51
gain	0	38	-76.96
gain	38	0	-76.90
gain	0	39	-83.39
gain	39	0	-79.70
gain	0	40	-85.86
gain	40	0	-83.51
gain	0	41	-87.23
gain	41	0	-85.19
gain	0	42	-86.57
gain	42	0	-84.93
gain	0	43	-79.46
gain	43	0	-75.07
gain	0	44	-81.76
gain	44	0	-81.65
gain	0	45	-88.84
gain	45	0	-86.14
gain	0	46	-88.99
gain	46	0	-87.51
gain	0	47	-70.19
gain	47	0	-67.69
gain	0	48	-85.48
gain	48	0	-90.19
gain	1	2	-46.90
gain	2	1	-47.07
gain	1	3	-56.88
gain	3	1	-57.72
gain	1	4	-61.18
gain	4	1	-64.81
gain	1	5	-71.48
gain	5	1	-72.08
gain	1	6	-67.40
gain	6	1	-68.37
gain	1	7	-50.23
gain	7	1	-52.21
gain	1	8	-59.99
gain	8	1	-64.92
gain	1	9	-59.45
gain	9	1	-63.77
gain	1	10	-65.76
gain	10	1	-59.23
gain	1	11	-71.77
gain	11	1	-72.42
gain	1	12	-72.48
gain	12	1	-73.86
gain	1	13	-73.49
gain	13	1	-73.93
gain	1	14	-63.73
gain	14	1	-62.05
gain	1	15	-65.13
gain	15	1	-66.64
gain	1	16	-63.30
gain	16	1	-66.49
gain	1	17	-63.17
