gain	0	1	-94.45
gain	1	0	-95.72
gain	0	2	-90.68
gain	2	0	-95.09
gain	0	3	-94.06
gain	3	0	-95.79
gain	0	4	-86.36
gain	4	0	-83.80
gain	0	5	-83.93
gain	5	0	-83.45
gain	0	6	-80.93
gain	6	0	-81.80
gain	0	7	-92.60
gain	7	0	-97.16
gain	0	8	-86.45
gain	8	0	-89.39
gain	0	9	-80.57
gain	9	0	-82.60
gain	0	10	-78.62
gain	10	0	-75.38
gain	0	11	-90.18
gain	11	0	-95.41
gain	0	12	-62.88
gain	12	0	-64.28
gain	0	13	-88.79
gain	13	0	-96.58
gain	0	14	-52.78
gain	14	0	-56.00
gain	0	15	-93.08
gain	15	0	-95.62
gain	0	16	-88.07
gain	16	0	-84.43
gain	0	17	-89.48
gain	17	0	-96.18
gain	0	18	-88.20
gain	18	0	-90.89
gain	0	19	-86.87
gain	19	0	-92.37
gain	0	20	-88.59
gain	20	0	-86.50
gain	0	21	-91.95
gain	21	0	-95.87
gain	0	22	-87.97
gain	22	0	-92.96
gain	0	23	-78.46
gain	23	0	-80.05
gain	0	24	-82.76
gain	24	0	-89.45
gain	0	25	-77.35
gain	25	0	-86.81
gain	0	26	-76.96
gain	26	0	-79.36
gain	0	27	-67.51
gain	27	0	-75.87
gain	0	28	-80.69
gain	28	0	-81.06
gain	0	29	-91.66
gain	29	0	-93.19
gain	0	30	-87.83
gain	30	0	-87.74
gain	0	31	-66.60
gain	31	0	-68.31
gain	0	32	-87.78
gain	32	0	-91.13
gain	0	33	-73.91
gain	33	0	-81.26
gain	0	34	-87.35
gain	34	0	-90.75
gain	0	35	-66.22
gain	35	0	-74.04
gain	0	36	-92.86
gain	36	0	-96.41
gain	0	37	-73.22
gain	37	0	-74.87
gain	0	38	-84.02
gain	38	0	-88.10
gain	0	39	-89.43
gain	39	0	-95.26
gain	0	40	-76.42
gain	40	0	-75.68
gain	0	41	-77.84
gain	41	0	-77.38
gain	0	42	-74.99
gain	42	0	-78.76
gain	0	43	-77.73
gain	43	0	-77.56
gain	0	44	-83.31
gain	44	0	-83.50
gain	0	45	-85.77
gain	45	0	-91.42
gain	0	46	-86.63
gain	46	0	-87.46
gain	0	47	-74.93
gain	47	0	-74.73
gain	0	48	-78.36
gain	48	0	-77.60
gain	1	2	-78.47
gain	2	1	-81.60
gain	1	3	-89.76
gain	3	1	-90.22
gain	1	4	-77.45
gain	4	1	-73.62
gain	1	5	-70.65
gain	5	1	-68.91
gain	1	6	-82.29
gain	6	1	-81.89
gain	1	7	-82.45
gain	7	1	-85.75
gain	1	8	-85.87
gain	8	1	-87.54
gain	1	9	-85.15
gain	9	1	-85.92
