0	2.93	17.04
1	14.78	5.11
2	17.09	0.35
3	17.72	13.11
4	19.49	2.78
5	10.17	6.26
6	9.66	15.19
7	19.20	13.15
8	1.25	0.33
9	7.16	10.92
10	2.35	7.94
11	19.91	7.64
12	1.09	16.58
13	17.28	7.22
14	2.67	18.46
15	8.96	6.55
16	6.90	3.84
17	11.63	4.14
18	11.49	8.19
19	2.52	2.74
20	2.01	4.14
21	13.90	6.70
22	4.72	2.93
23	7.23	12.02
24	13.98	11.60
25	5.23	10.13
26	6.11	11.74
27	3.42	19.37
28	15.17	19.13
29	18.40	19.32
30	11.00	1.90
31	2.24	13.72
32	10.00	5.05
33	7.95	16.23
34	3.00	0.77
35	5.02	17.57
36	9.33	1.21
37	9.92	10.66
38	14.91	16.66
39	14.27	12.65
40	10.47	12.03
41	17.58	15.00
42	2.10	9.00
43	5.39	8.37
44	17.63	9.88
45	15.18	17.95
46	8.58	3.44
47	9.69	18.51
48	2.08	5.48
